"","NameBankID","EOLID","NameFound","NameConfirmed","Titles"
"169","3475170","5195101","Pterocactus tuberosus","Pterocactus tuberosus",NA
"170","3475240","5196309","Tacinga funalis","Tacinga funalis",NA
"196","478985","480472","Opnntia azurea","Opuntia aurea E. M. Baxter",NA
"199","5786503","5177541","Opuntia anacantha","Opuntia anacantha",NA
"200","","477008","Opuntia antillana","Opuntia antillana Britt. & Rose",NA
"201","2646162","404531","Opuntia arenaria","Opuntia arenaria",NA
"202","2676745","590104","Opuntia aurantiaca","Opuntia aurantiaca",NA
"203","2784761","1264702","Opuntia austrina","Opuntia austrina",NA
"204","3475061","5177582","Opuntia azurea","Opuntia azurea",NA
"205","2646164","404509","Opuntia basilaris","Opuntia basilaris",NA
"206","3474972","5177596","Opuntia bella","Opuntia bella",NA
"207","2668343","486677","Opuntia borinquensis","Opuntia borinquensis",NA
"211","5786540","5177649","Opuntia cardiosperma","Opuntia cardiosperma",NA
"212","2646167","593351","Opuntia chlorotica","Opuntia chlorotica",NA
"213","","5177695","Opuntia comonduensis","Opuntia comonduensis (J.M. Coult.) Britton & J. N. Rose",NA
"214","2668344","595359","Opuntia cordobensis","Opuntia cordobensis",NA
"216","5764996","5177721","Opuntia curassavica","Opuntia curassavica",NA
"217","5784022","5177736","Opuntia deamii","Opuntia deamii",NA
"219","5767794","5177753","Opuntia depressa","Opuntia depressa",NA
"221","3475080","5177778","Opuntia durangensis","Opuntia durangensis",NA
"222","5784026","5177793","Opuntia eichlamii","Opuntia eichlamii",NA
"223","3475000","5177795","Opuntia elata","Opuntia elata",NA
"224","2646171","479490","Opuntia erinacea","Opuntia erinacea",NA
"226","5790462","15600236","Opuntia galapageia","Opuntia galapageia",NA
"227","2664641","595080","Opuntia gosseliniana","Opuntia gosseliniana",NA
"230","5767816","5177957","Opuntia hyptiacantha","Opuntia hyptiacantha",NA
"233","5761657","5177964","Opuntia inaequilateralis","Opuntia inaequilateralis",NA
"234","","5177966","Opuntia inamoena","Opuntia inamoena K. Schum.",NA
"235","","8717750","Opuntia juniperina","Opuntia juniperina Britton & J. N. Rose",NA
"238","2646180","479880","Opuntia littoralis","Opuntia littoralis",NA
"240","","5178041","Opuntia macdougaliana","Opuntia macdougaliana J. N. Rose",NA
"242","2664644","596113","Opuntia macrocentra","Opuntia macrocentra",NA
"243","5788260","5178062","Opuntia maxima","Opuntia maxima",NA
"247","3873760","405001","Opuntia occidentalis","Opuntia occidentalis",NA
"249","5784041","5178165","Opuntia orbiculata","Opuntia orbiculata",NA
"251","5761721","5178209","Opuntia pilifera","Opuntia pilifera",NA
"253","2784799","8717754","Opuntia pottsii","Opuntia pottsii",NA
"254","9029572","5178237","Opuntia procumbens","Opuntia procumbens Engelm. & J.M. Bigelow",NA
"255","3474974","5178244","Opuntia pubescens","Opuntia pubescens",NA
"256","5766381","5178248","Opuntia pumila","Opuntia pumila",NA
"257","2646189","589538","Opuntia pusilla","Opuntia pusilla",NA
"258","5766383","5178252","Opuntia pycnantha","Opuntia pycnantha",NA
"259","5766385","5178254","Opuntia pyriformis","Opuntia pyriformis",NA
"260","3475073","5178261","Opuntia quimilo","Opuntia quimilo",NA
"261","3475084","5178039","Opuntia quitensis","Opuntia quitensis",NA
"263","2646191","589791","Opuntia rufida","Opuntia rufida",NA
"264","5787043","5178341","Opuntia schickendantzii","Opuntia schickendantzii",NA
"265","9125778","5178356","Opuntia setispina","Opuntia setispina Engelm. ex Salm-Dyck, L.",NA
"268","5761743","5178291","Opuntia stenopetala","Opuntia stenopetala",NA
"269","5762781","5178397","Opuntia streptacantha","Opuntia streptacantha",NA
"270","2646197","589711","Opuntia strigil","Opuntia strigil",NA
"271","5766407","5178421","Opuntia tapona","Opuntia tapona",NA
"273","3475025","5178445","Opuntia tomentella","Opuntia tomentella",NA
"274","","1245307","Opuntia treleasei","Opuntia treleasei Coult.",NA
"277","2670182","590813","Opuntia tuna","Opuntia tuna",NA
"279","","1264328","Opuntia vaseyi","Opuntia vaseyi (Coult.) Britt. & Rose",NA
"280","3475003","5178503","Opuntia wilcoxii","Opuntia wilcoxii",NA
"282","5766323","5186892","Nopalea gaumeri","Nopalea gaumeri",NA
"286","2784757","1264701","Opuntia ammophila","Opuntia ammophila",NA
"290","5786531","5177611","Opuntia bonplandii","Opuntia bonplandii",NA
"291","2646166","477099","Opuntia brasiliensis","Opuntia brasiliensis",NA
"293","3474987","5177663","Opuntia chaffeyi","Opuntia chaffeyi",NA
"294","3475005","5177751","Opuntia depauperata","Opuntia depauperata",NA
"295","3475075","5177770","Opuntia discolor","Opuntia discolor",NA
"297","3475015","5177916","Opuntia guatemalensis","Opuntia guatemalensis",NA
"299","","8717728","Opuntia lata","Opuntia lata Small",NA
"301","","5178042","Opuntia macracantha","Opuntia macracantha Gibbes",NA
"303","2646206","590332","Opuntia moniliformis","Opuntia moniliformis",NA
"305","3475023","5178177","Opuntia palmadora","Opuntia palmadora",NA
"306","3475068","5178195","Opuntia pennellii","Opuntia pennellii",NA
"307","","5178201","Opuntia pestifer","Opuntia pestifer Britton & J. N. Rose",NA
"308","2646208","589672","Opuntia rubescens","Opuntia rubescens",NA
"309","3474981","5178363","Opuntia soederstromiana","Opuntia soederstromiana",NA
"345","4407365","110089","Mortola","Mortola",NA
"348","4453709","112045","Cabello","Cabello",NA
"350","4237439","114339","Mendoza","Mendoza",NA
"356","384778","80459","Wilcoxia","Wilcoxia",NA
"357","4481653","48322","Zacatecas","Zacatecas",NA
"361","5964453","11856433","Cereeae","Cereeae",NA
"370","","72701","Rhipsalis","Rhipsalis Gaertn.",NA
"372","","29915","Malus","Malus Mill.",NA
"388","5789999","5184814","Pereskia horrida","Pereskia horrida",NA
"392","9115601","5184849","Pereskia tampicana","Pereskia tampicana F.A.C. Weber",NA
"394","3413866","5197056","Zygocactus","Zygocactus",NA
"401","2646210","589674","Pereskia aculeata","Pereskia aculeata",NA
"429","4567178","12168282","Nicoya","Nicoya",NA
"446","3475153","5184855","Pereskia weberiana","Pereskia weberiana",NA
"452","9022265","5178302","Opuniia rosea","Opuntia rosea DC.",NA
"466","","60741","Hibiscus","Hibiscus L.",NA
"467","2782019","11210671","Hibiscus esculentus","Hibiscus esculentus",NA
"492","","15112","Torreya","Torreya Arn.",NA
"493","3413694","5280550","Vigia","Vigia",NA
"499","5778329","5184837","Pereskia portulacifolia","Pereskia portulacifolia",NA
"502","4935278","13232751","Harrisia","Harrisia",NA
"503","2646283","60789","Hylocereus","Hylocereus",NA
"512","5954043","5184809","Pereskia grandiflora","Pereskia grandiflora",NA
"519","2610994","110900","Salina","Salina",NA
"529","727113","415870","Pereskia velutina","Parkia velutina Benoist",NA
"541","9053935","5184840","Pereskia rotundifolia","Pereskia rotundifolia DC.",NA
"571","3475171","5195093","Ptcrocactus kuntzei","Pterocactus kuntzei",NA
"598","2646169","593344","Opuntia cochenillifera","Opuntia cochenillifera",NA
"634","2682708","72140","Addisonia","Addisonia",NA
"639","5764992","5177579","Opuntia auberi","Opuntia auberi",NA
"640","5786569","5177743","Opuntia dejecta","Opuntia dejecta",NA
"648","5783871","5177985","Opuntia karwinskiana","Opuntia karwinskiana",NA
"655","","5455803","Catinga","Catinga Aubl.",NA
"665","2657197","62073","Linnaea","Linnaea",NA
"669","5786074","11856770","Maihuenia patagonica","Maihuenia patagonica",NA
"696","3474968","2876551","Consolea","Consolea",NA
"697","612440","11255528","Consolea rubescens","Consolea rubescens (Salm-Dyck ex DC.) Lem.",NA
"703","618736","11255406","Opuntia arborescens","Opuntia arborescens Engelm.",NA
"705","2646172","479484","Opuntia ficus-indica","Opuntia ficus-indica",NA
